weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O2_params-v_0 O2_params-v_0_2 O2_params-I01_spec1 O2_params-I02_spec1 O2_params-I01_spec2 O2_params-I02_spec2 O2_params-I01_spec3 O2_params-I02_spec3
5.293619299960768549e-05 -1.333520269394191700e+03 -6.289945099344970703e-02 -9.988149769354118246e-02 -2.751153036068710200e+00 8.201708866595872394e+01 4.709663864392465982e-01 7.264567650255220332e-01 4.395921068892816308e+00 -8.467721679618245290e-02 2.470907731007427888e-01 5.799060180283930332e-01 -1.649159907746706324e+02 -1.740098841981390763e+02 3.362577436007229892e+01 7.959372383401385775e+01 1.223574878897060181e+01 2.835347591394332767e+01 1.714974254022405376e+01 7.883560510350274342e+01
5.056493470749517965e-05 -1.333566098330704790e+03 2.584289920111965122e-02 -2.372975798641629996e-02 -2.693420780035446160e+00 7.595138709875206473e+01 6.549682879370274380e-01 6.390698806321013503e-01 4.407152414083883585e+00 -1.200738219694157394e-01 3.004669913319850671e-01 1.579268884733000533e-01 -1.707745858151557172e+02 -1.789741912567063480e+02 3.100549546921171995e+01 8.415322546533576542e+01 1.566209327336365220e+01 3.008979922950394581e+01 1.345753006116312633e+01 7.196808595920367679e+01
6.346301855890773233e-05 -1.333338899325451621e+03 8.737794135938642404e-02 3.578826098320775362e-02 -2.731247253598158675e+00 9.012612888343277007e+01 7.702829432399997955e-01 5.998232788968016482e-01 4.408660008713571443e+00 -1.147975432256576056e-01 3.373661795754483439e-01 2.897133415395413691e-01 -1.626235121035863926e+02 -1.742698137021428693e+02 3.484978888862999469e+01 8.473571302981552833e+01 1.250783137170752291e+01 2.697996889402221043e+01 1.288184266804581668e+01 8.892602815945005545e+01
6.095409491494587037e-05 -1.333379235638306000e+03 6.046183311541156180e-02 2.924377265265060144e-02 -2.808245803867660761e+00 7.555557571653638149e+01 7.397145345235769387e-01 6.166246213186221681e-01 4.411920855110063044e+00 -3.174082124676758099e-02 3.358571529731417815e-01 2.047807791963590085e-01 -1.660834402959708314e+02 -1.737761154960486181e+02 3.378640410341993316e+01 8.370304655157612217e+01 1.366933004464332413e+01 2.732682188698220926e+01 1.744876433484077083e+01 6.985316387178563957e+01
5.011438354986166578e-05 -1.333575048613109175e+03 7.882714394819853587e-02 9.658543733626900885e-04 -2.744069286399640095e+00 9.220959879765484857e+01 7.509158633295796026e-01 6.316165394423212121e-01 4.407113769232257283e+00 -1.139125966653313782e-01 3.472202724452599920e-01 3.588043792668689225e-01 -1.634672986793928544e+02 -1.745498727773600081e+02 3.116025966373658918e+01 8.281192311737073908e+01 1.275078511602989551e+01 2.788818731022102426e+01 1.561183381254549474e+01 8.291812915244112503e+01
5.893541147754618624e-05 -1.333412914553257679e+03 -1.631795077271311345e-02 -1.238555565803062808e-01 -2.667192700589106735e+00 7.704511362465240154e+01 5.219975810270722771e-01 7.046212642632403433e-01 4.409180897027336954e+00 -1.059388210864118385e-01 2.507990945872942135e-01 3.384966615690865321e-01 -1.685191961846174422e+02 -1.737684988825553489e+02 3.028916153295879710e+01 8.799972278502909262e+01 1.234089721737041678e+01 2.625930817863631006e+01 1.855823571846859465e+01 8.152158815055132379e+01
5.884021525595578637e-05 -1.333414531122745757e+03 3.339214497842440954e-03 -2.177390623104949463e-02 -2.768089664399353556e+00 7.732641585561043485e+01 6.579642765689799333e-01 6.784980789741550389e-01 4.417923740389158027e+00 -6.913265366898380115e-02 2.961186870674901161e-01 2.761461923279774910e-01 -1.655183989764624641e+02 -1.769405856531636232e+02 3.391520384468638127e+01 8.820842508382587255e+01 1.297137863806840841e+01 2.565693978696126365e+01 1.839103980637701952e+01 8.346170533291751781e+01
6.820003006153273521e-05 -1.333266911671164962e+03 8.877328093998726466e-02 1.577810053433104098e-02 -2.602650117955886078e+00 9.208796416893213177e+01 8.208499875229386955e-01 5.782491098584845446e-01 4.414925051781588117e+00 -1.447477486972146288e-01 3.543437519819905290e-01 1.899784530511973157e-01 -1.665234757701012711e+02 -1.722788451526763254e+02 3.365154326776698213e+01 8.169426037385096606e+01 1.522409919979350690e+01 3.056495905768164079e+01 1.520654932556553263e+01 8.875877556790467793e+01
5.577464070052179628e-05 -1.333468037378446297e+03 9.980699267589565604e-02 -1.141079452501722602e-02 -2.706942684498633511e+00 9.135082370993083600e+01 7.730381851638963298e-01 6.054868562385178343e-01 4.416386520705644081e+00 -1.377145913762234386e-01 3.644852844333295039e-01 2.850601561802379447e-01 -1.676107932595871830e+02 -1.753273036483749934e+02 3.647563947128917761e+01 7.850165405588415979e+01 1.302581036830130401e+01 2.984004305808862867e+01 1.989713748570298790e+01 9.189037503308972532e+01
5.103341598196709081e-05 -1.333556876043302054e+03 6.193092989447451790e-03 -1.105011619433892145e-01 -2.710334281870567352e+00 8.409569147359570707e+01 5.324906562528062270e-01 7.083810067848137493e-01 4.410754817211803847e+00 -1.205172461463832612e-01 2.676512183584880411e-01 4.768505377570698700e-01 -1.643802751474034380e+02 -1.744852947153990499e+02 3.388418495824196697e+01 8.069484161717311110e+01 1.194805699928092046e+01 2.693953355634992519e+01 1.884891748380590570e+01 8.627891378338969730e+01
