weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
9.483746673320441270e-05 -2.158854551519463712e+03 3.432513646544951835e-02 9.275192861010830847e-02 -2.922607031964767899e-01 8.004737491910923097e+01 7.184002245392560049e-01 3.186393542591796080e-01 4.595767167570544487e+00 -6.629422081239719766e-01 -1.688251383294332442e-01 1.574838385081318570e-01 1.772281725325825619e+01 7.616032338183642558e+00 1.539023962000447625e+02 9.731088147582667602e+01
1.014373562721581083e-04 -2.158787274640987562e+03 6.954735584099025480e-02 6.810548348029488164e-02 -2.808896592973604278e-01 9.140381988907965649e+01 7.176361615581395847e-01 3.171099724443217638e-01 4.591395254352199196e+00 -6.229415980750887538e-01 -1.862147799840951912e-01 2.330339285975200347e-01 2.054911427391036227e+01 8.716902903879830689e+00 1.448307713272989474e+02 1.003161139434431988e+02
1.550087761260894668e-04 -2.156056991189977907e+03 6.629466166580438857e-02 6.191090862686893237e-02 -3.504314873725729029e-01 7.089099370999254290e+01 7.466845682381409999e-01 2.984968915503155573e-01 4.585830911407663635e+00 -6.842196893604390873e-01 -1.339962010244872825e-01 9.874046690969065510e-02 1.920171741778787577e+01 1.010882376003741001e+01 1.452401767524567049e+02 1.100819414120137765e+02
1.506407242079835479e-04 -2.156085575233584223e+03 1.364123497162876564e-01 4.675041653354861104e-03 -2.403329149347728233e-01 1.204719324666254607e+02 9.215923551504769939e-01 2.805473852858984540e-01 4.592673631235108189e+00 -6.416603973742422973e-01 -2.481687069412352731e-01 1.065192195224130556e-01 1.716409309919552584e+01 9.000707774029947927e+00 1.466502236235550640e+02 1.163971273444572887e+02
9.040618315536811138e-05 -2.156596160262667127e+03 1.458101882867981203e-01 9.378562923152505837e-03 -3.545709915492816222e-01 1.185399329451469015e+02 9.295825845431652246e-01 2.810861942686803117e-01 4.587967135474693592e+00 -6.597554751285514829e-01 -1.553437959164347681e-01 1.106727570365300395e-01 1.899630593773406417e+01 8.952027653303940014e+00 1.406451833625049801e+02 1.030563825873687165e+02
8.791657411325775121e-05 -2.156624084582081196e+03 1.244998266176819690e-01 4.576536164891906178e-02 -2.744333191937293748e-01 9.516185857942635096e+01 8.220269814684834087e-01 2.825989066714248987e-01 4.589018832474934584e+00 -6.583855041847919143e-01 -2.435996934859900875e-01 1.341721751557719278e-01 1.983154285884756973e+01 9.636014475100207477e+00 1.525976876084824596e+02 1.027028261458098370e+02
9.739638111245713169e-05 -2.156521683870407287e+03 1.050985297952963526e-01 3.980552365982925611e-02 -2.356033141580100576e-01 1.118898502529000751e+02 8.579098570210048624e-01 2.952177846656439120e-01 4.590312230122217230e+00 -6.186119459082992655e-01 -2.331631016020532243e-01 1.688420290449400840e-01 1.790993381885411395e+01 8.955702347210547032e+00 1.524768466354070711e+02 1.038978943605095537e+02
1.216540264571199127e-04 -2.156299291758078652e+03 9.384322988835450130e-02 6.646604321496982215e-02 -3.255313075058468009e-01 8.558262434243083305e+01 7.568705140729439229e-01 3.106476069709415144e-01 4.590367138626643140e+00 -6.324630909766504328e-01 -1.642826185785288828e-01 1.243650120469992348e-01 1.865134569831965905e+01 8.359772820022758566e+00 1.552003875380505349e+02 9.473392479420384404e+01
9.963585247547172765e-05 -2.156498950861030607e+03 1.166838039311047515e-01 2.949355986477517066e-02 -2.999878980190620048e-01 1.059543292664062619e+02 8.241206020734451743e-01 2.980641069200014592e-01 4.586399297542255837e+00 -6.189988977576741380e-01 -1.911131136541497355e-01 1.644319469515161392e-01 2.006414476937828795e+01 1.108488471953439358e+01 1.510101175430568219e+02 9.352157769785939934e+01
1.132743099360020205e-04 -2.156370660526863503e+03 1.114187229565656023e-01 4.350581309803308594e-02 -3.381600651241249977e-01 8.657645703239317925e+01 7.811282876120057006e-01 3.013804713638086330e-01 4.592150386639058723e+00 -6.332580474518383351e-01 -1.597124616872307445e-01 1.185464631251190587e-01 2.149566259791617995e+01 1.204441050236360056e+01 1.530115898247318285e+02 9.674513196516065250e+01
