weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O2_params-v_0 O2_params-v_0_2 O2_params-I01_spec1 O2_params-I02_spec1 O2_params-I01_spec2 O2_params-I02_spec2 O2_params-I01_spec3 O2_params-I02_spec3
5.650456781540782439e-05 -1.828401333409284234e+03 2.460312906185480042e-02 -7.251077161084336364e-02 -2.706574750090333659e+00 1.070193588195459569e+02 6.140080494315868220e-01 6.854497531181995562e-01 4.416874592173922309e+00 -1.325133778204243828e-01 2.775009795760159381e-01 1.087108983052103461e+00 -2.630111347478532480e+00 -1.495458117382946739e+01 2.663589353116868708e+01 7.669664176341217399e+01 1.402225025991132767e+01 2.767310426003477630e+01 1.359463256614768056e+01 4.869809881742759217e+01
6.610394753901019968e-05 -1.828244426424673520e+03 6.116388291236696251e-02 -1.859541922751961618e-02 -2.692457040876409913e+00 1.083940662889490625e+02 7.706475033330504321e-01 6.034521676702229165e-01 4.402355988015169252e+00 -1.319156149739191264e-01 3.260631685938766289e-01 6.876011654047469168e-01 -6.071060119285505152e+00 -1.311016778253602411e+01 2.667319949198265761e+01 7.219933728498007497e+01 1.601825336475704020e+01 2.773508890616771438e+01 1.259601417278277680e+01 4.834330380462348131e+01
5.452783387644962923e-05 -1.828436943605830265e+03 -7.275865985869019170e-02 -2.102677797378427194e-02 -2.806140350646242787e+00 1.011764226462596241e+02 5.745700936186064478e-01 6.973088732330749995e-01 4.421135996456612816e+00 -6.774164851600872339e-02 2.829159507444083399e-01 9.402966444742503205e-01 -4.693665276377373630e+00 -1.177092120628225302e+01 2.703042694861568407e+01 7.652872980767099875e+01 1.554558550807660922e+01 2.510343659280211881e+01 1.380846024831339136e+01 4.808873946759761964e+01
8.237699346731771461e-05 -1.828024348698022550e+03 -8.826744799045727063e-02 -7.671709392597421406e-02 -2.783180000848916702e+00 8.740490179153570693e+01 5.387257106860722233e-01 7.192536010627355036e-01 4.417447436112222903e+00 -9.979482067615741414e-02 2.576558576478142903e-01 7.094714408193005806e-01 -3.628062740612278958e+00 -1.194684830110287521e+01 2.866584066421329169e+01 7.435469881175382056e+01 1.387542462797664022e+01 2.777848353683709348e+01 1.078838675986337847e+01 4.200723962825403390e+01
9.622333099138755423e-05 -1.827868983036294139e+03 3.530372060487060870e-02 -1.973871670462831740e-02 -2.753615076281533902e+00 7.811385770923968153e+01 6.755091157298507287e-01 6.312481622605455867e-01 4.399606969443288662e+00 -6.004403204291031138e-02 3.045185114541208993e-01 2.732353463501743240e-01 -9.394429018750912519e+00 -1.320112770626468546e+01 2.679300963371511557e+01 7.385611910784362522e+01 1.580900572011767480e+01 2.647625213201398964e+01 1.443542692291499563e+01 4.984423022982931428e+01
5.580209402904097438e-05 -1.828413843494373850e+03 -6.567718019816393138e-02 -1.432002572420637831e-01 -2.738483777287473497e+00 1.101630950038243810e+02 4.422831538917550986e-01 7.612354893133250755e-01 4.411500605723206903e+00 -8.952833181187225264e-02 2.123166068387596361e-01 1.193606464075970264e+00 -4.363798594506391737e+00 -9.474452020668707064e+00 2.744916358253423994e+01 7.263451909551743313e+01 1.552700459735201122e+01 2.684900601717310309e+01 1.141529360248993896e+01 4.961163219194597218e+01
7.247346980497389060e-05 -1.828152434329293101e+03 -1.476477656133484695e-03 -4.725063546003645254e-02 -2.789082347612869661e+00 9.940793339068927992e+01 6.097300694542155952e-01 6.708102104067774629e-01 4.421233754299726648e+00 -1.136527018943289669e-01 3.001758065049489055e-01 8.097434376952477031e-01 -5.087851388401816166e+00 -1.128054787590841102e+01 2.714447735345937218e+01 7.484287476032392306e+01 1.480057266796208637e+01 2.604124293263643253e+01 1.082295358637430738e+01 3.945740374484796575e+01
6.182398792777507623e-05 -1.828311363447136728e+03 4.834986600083451824e-02 5.868554073166140639e-02 -2.686365240419657852e+00 9.500255407368003091e+01 7.941752111713450413e-01 6.118203730961468967e-01 4.410816311769320208e+00 -1.028141649712641659e-01 3.499992947078858219e-01 2.827155390671844404e-01 -2.736898934503301462e+00 -1.354820829766316592e+01 2.963487246414131704e+01 7.469515128215742550e+01 1.429013276533164145e+01 2.626374414944743307e+01 1.535380256468732441e+01 4.209179042414091043e+01
5.327024859089616910e-05 -1.828460276902920214e+03 1.062252053164963739e-02 3.366283800105071555e-02 -2.824523790605795615e+00 9.086646384863115600e+01 7.092517211176792014e-01 6.489798526443462112e-01 4.424115426792370798e+00 -5.944244305594392763e-02 3.321288059539169168e-01 4.314948958666964818e-01 -7.816219806841189666e+00 -1.230851257907448826e+01 2.640385753214768982e+01 7.688821756233654980e+01 1.417699522113913346e+01 2.655405132426358250e+01 1.591951108565370276e+01 4.732376257873649195e+01
6.188966082150148564e-05 -1.828310301755067030e+03 7.557871445751068729e-03 -5.751206860582629143e-02 -2.722966892053336085e+00 8.358531023037754437e+01 5.922586901286763794e-01 7.051119163383694488e-01 4.423506191753958205e+00 -8.476143922545431586e-02 2.551285068182296278e-01 4.466553335051932083e-01 -8.038446160568582854e+00 -1.000941694926089554e+01 2.775286452927194603e+01 7.336384943338237008e+01 1.625596545523277925e+01 2.425026361514881401e+01 1.275554388848265575e+01 4.662337197243837750e+01
