weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale Hb_params-v_0 Hb_params-I01_spec1 Hb_params-I01_spec2 Hb_params-I01_spec3 O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
8.512562320712975051e-05 -3.385895713310816063e+03 -1.481759677790105700e-01 -7.595170813852970826e-02 -1.424240787743432879e+00 6.159467896844879675e+01 6.480864084002726511e-01 6.988621206305722922e-01 4.949767283714105126e+00 -2.223492231213985981e-01 3.704342612796529544e-02 3.944106737378970440e+00 -2.790564277305145424e+01 3.024378319690390526e+01 1.871286030635732800e+01 1.494656011571604637e+01 2.394521448430245414e+01 3.458507435291235765e+01 1.266932652124297398e+01 8.321363240957779794e+00
7.843570466178483198e-05 -3.385977562156051135e+03 -1.386013793307963038e-01 1.274251870743381143e-01 -1.084777272407698501e+00 6.010872331117195699e+01 4.912503385087196861e-01 7.933425597325860501e-01 4.945505402071013634e+00 -2.345325460357701175e-01 -2.668253855692137577e-03 3.865621441105472123e+00 -2.105008123033988454e+01 3.531872248229006317e+01 1.725531490482912034e+01 7.688695764015873735e+00 3.934578633908230927e+01 3.256626289582587219e+01 8.883563666272742410e+00 3.718344401959727819e+00
8.940067003494006571e-05 -3.385846713219391859e+03 -1.466798664640955596e-01 -3.002569089757284315e-02 -1.338176584870236052e+00 5.993693164388917438e+01 6.234389587579236558e-01 7.088923697047133654e-01 4.946084549567180133e+00 -2.344727202097434127e-01 1.873005228489277307e-02 3.667144364884255214e+00 -2.430428087437280738e+01 3.428557679137267655e+01 1.827802466851202823e+01 1.631588996294719607e+01 3.177582154852120766e+01 3.559176277029607860e+01 1.040935971218459599e+01 3.163811392398740985e+00
7.809390715625134818e-05 -3.385981929355903048e+03 -1.432102141113998084e-01 3.824935671006846061e-02 -1.203923296302914725e+00 5.633483063976900951e+01 5.659626755964247691e-01 7.372577632467596231e-01 4.941438291981572917e+00 -2.337329105705154841e-01 7.453643114224473010e-03 3.503548553508030849e+00 -2.134019915193147199e+01 3.518884526613285857e+01 1.861623913583032675e+01 1.730932879271640701e+01 3.710110794558062253e+01 3.621425115357568103e+01 1.138171111819385928e+01 7.047610190962672050e+00
8.242236517161053843e-05 -3.385927984574268521e+03 -1.481742472633836849e-01 -3.774072806848594031e-02 -1.346498935500572536e+00 5.982274506734253094e+01 6.261826400425554162e-01 7.106548976529860617e-01 4.948790928731199301e+00 -2.182625731855427631e-01 2.943614377945658056e-02 3.926024945062180915e+00 -2.662677440730789158e+01 3.297773896885025380e+01 1.747248721037264474e+01 2.030341737318186546e+01 3.774765456510877470e+01 3.667031459905845026e+01 8.485608035950221506e+00 3.471625237155162580e+00
7.860692437815367851e-05 -3.385975381604372160e+03 -1.428468942524785956e-01 -3.275821251389832156e-02 -1.319146969269386682e+00 6.007353725600774652e+01 6.216139368772971574e-01 7.022310185430722385e-01 4.944356822834794940e+00 -2.241567062632392471e-01 1.065629142331614432e-02 3.947619296250509002e+00 -1.706137160129986796e+01 3.497946281190633755e+01 1.646609446935121213e+01 1.189049495697791414e+01 3.477608599373922971e+01 3.832744475721550259e+01 1.161841031839450089e+01 4.108214727943204636e+00
8.885267572473556105e-05 -3.385852861727115396e+03 -1.453839998583814908e-01 1.253353612384341675e-01 -1.070517865603283880e+00 5.791178091719188359e+01 4.885155649236875286e-01 7.760457468549297744e-01 4.944344310926549468e+00 -2.342249696551685911e-01 -6.885403129251788101e-03 3.870669278006189984e+00 -2.379144734435647024e+01 3.337997187443519920e+01 2.014979097385050011e+01 5.818559924983035536e+00 3.572122300087806934e+01 3.566152099834507538e+01 1.064048486471969035e+01 2.549941654068743624e+00
7.726433127113355539e-05 -3.385992608979696797e+03 -1.327107715095582618e-01 -1.303428887142332737e-02 -1.318035154320945868e+00 5.796742328062495631e+01 5.930313528726379735e-01 7.241144618379393716e-01 4.943534823818941604e+00 -2.163548398489434366e-01 2.474412211980436815e-02 3.996152543143318248e+00 -2.988394678441306951e+01 3.004044652733073306e+01 1.957884435229539832e+01 1.536945460424254861e+01 3.367743806551746388e+01 3.687745257927821285e+01 1.238159363163249260e+01 5.130561735990024630e+00
8.580825788596990538e-05 -3.385887726148721413e+03 -1.390315848949346678e-01 4.455536295220496878e-03 -1.256535967177291546e+00 6.913471823017482620e+01 5.970910693348561171e-01 7.259749809192403980e-01 4.947140400033596563e+00 -2.286702883875626480e-01 1.293773632986505717e-02 3.940092092634001730e+00 -2.281923791958769243e+01 3.119827620232007348e+01 1.803102571579107050e+01 1.146804110730359483e+01 3.438849714712355876e+01 3.612547887809536462e+01 1.460270738075286623e+01 1.513831776398411044e+00
8.227886097577359994e-05 -3.385929727174921936e+03 -1.429031421840428751e-01 4.184229783704881966e-02 -1.184825667765892820e+00 6.011304973806771557e+01 5.761479354098025807e-01 7.364715111013113713e-01 4.949127885119700920e+00 -2.270150570938525014e-01 6.451912593357755910e-03 3.957719454718557905e+00 -2.935356889594876861e+01 3.205966327534915195e+01 1.908103292719920319e+01 1.533566082183113188e+01 3.988905262400672314e+01 3.931852740775354249e+01 1.083794232157231363e+01 3.187394393749709565e+00
7.911422855247275275e-05 -3.385968948657181954e+03 -1.474610276373702067e-01 -3.403108253528050464e-02 -1.316078576236791031e+00 5.714352932959302933e+01 6.296565255240154091e-01 7.113196106472339242e-01 4.953968707198788124e+00 -2.354909714483741645e-01 2.062689951442941982e-02 3.993736264749317755e+00 -2.291279807375804012e+01 2.909064354260082297e+01 1.589275733817041569e+01 1.666382001257760237e+01 3.391210366209361382e+01 3.474190883680894615e+01 1.418756558490297337e+01 3.873902025601783095e-01
7.938216305204910987e-05 -3.385965567700024621e+03 -1.478542893763059030e-01 -1.614226057338349896e-02 -1.277218416107087418e+00 6.705212402866440868e+01 6.212960674011746010e-01 7.159537615984170600e-01 4.951859577489086561e+00 -2.176291740060702917e-01 1.214562943485986146e-02 3.974912956278228382e+00 -2.422919575303552620e+01 3.454919822235191873e+01 1.823659727535664743e+01 1.093282013559448984e+01 3.519771281151037101e+01 3.487715658971946198e+01 1.231135842311792317e+01 9.275371609049788191e+00
1.021712326020003453e-04 -3.385713191239584376e+03 -1.414210406007349319e-01 -8.202723584503027188e-02 -1.450973012639922510e+00 5.384050528881551401e+01 6.399560862159462404e-01 6.913028667262661742e-01 4.949664651506864743e+00 -2.302767047509584053e-01 4.619713679465542455e-02 3.967634559627958968e+00 -3.079222495543120885e+01 3.468412016952937904e+01 1.815132442736500096e+01 1.425696891057270932e+01 3.010228548986660257e+01 3.590656310242279403e+01 1.588861706874600266e+01 5.016531379130495516e+00
