weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
0.000000000000000000e+00 -4.774278507481674897e+05 4.089927753246097586e-02 1.255055675285915162e-01 -1.908668113479813799e+00 1.029333838213489685e+02 7.090449787728231312e-01 2.564998182059043508e+00 4.194604569193828070e+00 4.980838920751120558e-01 -1.871250352929287875e-01 2.054483712055875877e+00 2.919057439472527449e+01 2.113737724505074880e+02 6.866099044214115565e+02 5.464037270868883525e+02
1.066267400152172819e-04 -1.622088323803153799e+03 6.413176221848132519e-02 1.456087704059395305e-01 -2.158574445037828582e-01 1.726348323766757460e+02 3.823393139845580047e-01 9.439078302806589438e-01 4.457947287750547716e+00 -1.750027659535118296e-01 -8.285602755174692469e-02 9.376585769022610650e-01 -8.229173192817258098e+01 8.899526160919246820e+01 2.445066199742240798e+01 9.655665692036340886e+01
1.277158946936378945e-04 -1.621907849903538590e+03 1.180576770210118032e-01 1.492145342094719218e-01 -2.440491056859510621e-01 1.811059564228918930e+02 4.017376515515109769e-01 8.872886333071825504e-01 4.450646533641629432e+00 -1.853267827752267394e-01 -9.639805626024022800e-02 9.892592294629177774e-01 -8.208193345669280916e+01 9.990049985262893983e+01 2.485947307639335691e+01 1.037224602814208509e+02
1.091077174663271100e-04 -1.622065322499965987e+03 1.096489531589538713e-01 1.371295100540668443e-01 -2.235265076913832694e-01 1.867700147109289617e+02 4.106742871761044356e-01 9.272841421478852375e-01 4.469807006298708529e+00 -1.852163496668555176e-01 -9.450494662392516787e-02 1.046661183314835819e+00 -8.214431817979615857e+01 1.039685122785802776e+02 2.412386244656639178e+01 9.513444282148685716e+01
1.054531546548937446e-04 -1.622099391305252084e+03 8.182574795582298055e-02 1.256274348593690304e-01 -2.005827688464090208e-01 1.663089426569858063e+02 4.018558085175956140e-01 9.248508483208772724e-01 4.468014272302834655e+00 -1.829811180380374047e-01 -9.162162191715528259e-02 8.073685947597289969e-01 -8.272656335871738520e+01 9.118045659395890823e+01 2.387343651969409208e+01 1.008947856021431591e+02
1.180165281043815716e-04 -1.621986833444511603e+03 1.031047158406423747e-01 1.112125287436188936e-01 -1.984864365978000755e-01 2.018270309366679385e+02 4.121655140900681857e-01 8.913390143475021787e-01 4.463878275174252508e+00 -2.009329423738037690e-01 -8.979343888866297974e-02 1.029070858194721882e+00 -8.591247459983642898e+01 8.831507129762150043e+01 2.427505273947827646e+01 1.035283101253172617e+02
1.256528906929108339e-04 -1.621924134858212255e+03 1.107890557293056133e-01 1.294459749910175927e-01 -2.284915946025569689e-01 1.804749868199611740e+02 4.126816603209595424e-01 9.163208954616575141e-01 4.472722876569514838e+00 -1.805137689752061014e-01 -1.008387171306770469e-01 9.995831606038514394e-01 -8.369716833667729361e+01 9.665323969332672505e+01 2.306339124139999797e+01 1.060133951057533608e+02
1.379180571995824490e-04 -1.621830998407463539e+03 1.127409576688397086e-01 1.198014632619044118e-01 -1.987535222945693292e-01 1.886663832404167067e+02 4.164823312491809926e-01 9.069522946583428169e-01 4.461941875315825534e+00 -1.973631473316506124e-01 -9.184180198992342170e-02 9.754354415876823614e-01 -8.244713784538791401e+01 8.933778541049331068e+01 2.415745950857139945e+01 9.325312079178549141e+01
1.029487842237760916e-04 -1.622123426503831070e+03 1.213284635645553722e-01 1.308299485248027028e-01 -2.515449703616936539e-01 1.715469101659361399e+02 4.376993886219213703e-01 8.904939813400059023e-01 4.467830651368737804e+00 -1.955407708260517019e-01 -9.778932679550145224e-02 8.260578917191513382e-01 -8.244014471340595662e+01 9.399092312127554294e+01 2.384854219138410514e+01 1.051653471887974405e+02
1.045948676060737173e-04 -1.622107563644286301e+03 9.846296789460079468e-02 1.473323108730143771e-01 -2.396792284832693909e-01 1.835376310771235069e+02 3.794954355251420886e-01 9.294296685200758024e-01 4.460737564971116065e+00 -1.926051193969104958e-01 -9.543482530885394333e-02 1.106076643906729107e+00 -8.571513794651529849e+01 9.210258431765372222e+01 2.385278444992311364e+01 9.674519827071314637e+01
