weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale Hb_params-v_0 Hb_params-I01_spec1 Hb_params-I01_spec2 Hb_params-I01_spec3 O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
5.658404135415379040e-05 -2.349635301798392447e+03 -1.261041262285474140e-01 2.614429142883345492e-02 1.903398233417317620e+00 1.658932139596430488e+02 5.775215539488276484e-01 7.234213230932782235e-01 4.944482911293180294e+00 2.361339540928235614e-01 -1.502923730606786634e-02 2.530572140470126463e-01 -5.407054553046624790e+01 3.674572699691536570e+01 2.347492610007751068e+01 6.703385470498979259e+00 -4.270743674710755045e+01 3.485811007128625505e+01 2.425784528380736660e+01 4.844682168803049649e+01
7.810084304548711297e-05 -2.349313027937747393e+03 -1.397837769481844739e-01 5.415983898519161066e-03 1.872246231071883038e+00 1.614255268755804877e+02 5.980156964195526559e-01 7.190985057165439898e-01 4.951206485982641681e+00 2.371094846348256180e-01 -2.010152425166156220e-02 2.061158185849459312e-01 -5.227096361430325544e+01 3.678437457805627986e+01 2.270997969035426678e+01 7.586586530426209229e+00 -4.046731303753136899e+01 3.581450657224705481e+01 2.569087903098765580e+01 5.746513145452003357e+01
6.569936544332814136e-05 -2.349485939521924138e+03 -8.130251155375453620e-02 7.538316288181337588e-02 1.939633767704833645e+00 1.590322759840056506e+02 4.976724022524265933e-01 7.788934515230205857e-01 4.942439156718593019e+00 2.322069025314694724e-01 9.278619889447892177e-04 2.240764245561051027e-01 -5.269078802364988690e+01 3.912976530228684169e+01 2.353951830640765763e+01 5.631439525588755046e+00 -4.021934677561768012e+01 3.609756558780885882e+01 2.658315289809365467e+01 5.496764930396502535e+01
6.653119908743627855e-05 -2.349473357792120623e+03 -1.335142611345341568e-01 4.425881487654048652e-03 1.873188584216407548e+00 1.543549679748592780e+02 5.833218180867224545e-01 7.235131755801798015e-01 4.944619447557079717e+00 2.407498625301296435e-01 -1.825669501262128236e-02 1.805131871088895557e-01 -4.795935029838526020e+01 3.740743706736526519e+01 2.407269394819078201e+01 6.315032648694152151e+00 -3.937703768836300355e+01 3.488574850969850161e+01 2.514116018849199463e+01 5.258586523505470467e+01
1.042559525565591946e-04 -2.349024179831058518e+03 -1.172855576572608138e-01 2.773680727632621412e-02 1.903765296226430870e+00 1.644794470282110410e+02 5.510858733014244448e-01 7.382301504536934456e-01 4.939074129590006912e+00 2.416816991247539015e-01 -1.580953715463828679e-02 2.555411869227491306e-01 -4.511097454016146457e+01 3.811395366558079445e+01 2.371762880202310697e+01 7.167232513532462157e+00 -3.741031092243255785e+01 3.635965155706055896e+01 2.964877182747971318e+01 4.932904888544342725e+01
6.082125235992575491e-05 -2.349563089515682350e+03 -1.466916448744888524e-01 1.697911095637855139e-02 1.891995607513039523e+00 1.473570416835663082e+02 5.859873430787396753e-01 7.322449849328955818e-01 4.948721664251154451e+00 2.238948327822625206e-01 -1.361660345930082450e-02 1.100490983935189654e-01 -4.395776388261586476e+01 3.712612282422777810e+01 2.411539356301417669e+01 9.310731445072327972e+00 -3.509975860214888144e+01 3.677505888664012446e+01 2.807315901731299945e+01 4.938991629683542328e+01
5.871479428918585658e-05 -2.349598337061708207e+03 -8.071008999512115090e-02 6.247990830465544043e-02 1.908868574345081726e+00 1.566566137303143762e+02 5.115303226965168815e-01 7.664816651791819258e-01 4.946559870855624652e+00 2.323987713831203727e-01 -7.641290857345328646e-03 2.346857229948332568e-01 -5.079325215770489876e+01 3.530207328484591756e+01 2.405881201343762399e+01 6.686826298011427916e+00 -3.782488779360082276e+01 3.876259236463464219e+01 2.578141577687642538e+01 4.886383654364811946e+01
7.951425605049483743e-05 -2.349295092461997228e+03 -1.367190868158239536e-01 3.763894927777636235e-02 1.916407835737447662e+00 1.575924514816076396e+02 5.656525588682195238e-01 7.433890399420250983e-01 4.948700700001618102e+00 2.265240388424800688e-01 -2.004822191681099319e-02 1.596097954901376514e-01 -4.798733859894591092e+01 3.599492851483110201e+01 2.253602364851348128e+01 8.319713558980312840e+00 -4.308308467190116176e+01 3.609198847896510642e+01 2.675942204219294851e+01 5.428965155422804401e+01
5.863796493077306203e-05 -2.349599646436449802e+03 -5.930957144547818749e-02 9.782033267396075815e-02 1.935283353624395630e+00 1.637141905593456670e+02 4.535103670979803159e-01 8.242931390973913253e-01 4.945388179015122176e+00 2.192555349074527538e-01 -1.147580192316266512e-02 3.326095970436779847e-01 -4.889854075145416346e+01 3.602782803970294623e+01 2.375497009647642344e+01 3.079609866402210905e+00 -4.339548651428563630e+01 3.603528168699210710e+01 2.627275675538842847e+01 4.861845727591473576e+01
7.282281380798196944e-05 -2.349382999506377473e+03 -6.801185258610659146e-02 6.586187041720328872e-02 1.881676042170721708e+00 1.536303282136705377e+02 4.792003221177563166e-01 7.971009986180170870e-01 4.946466681555794054e+00 2.188696734113497744e-01 -1.684772146449287078e-02 2.366991173038433538e-01 -5.018888133390962025e+01 3.672739232759336403e+01 2.207557736574528207e+01 7.566496655959542572e+00 -3.979590572202602061e+01 3.688839606948535277e+01 2.625182732801467722e+01 4.676015726960003605e+01
5.877082206274399605e-05 -2.349597383280648955e+03 -7.258953168637517772e-02 6.993667098685804606e-02 1.927393092150002651e+00 1.645757573490501500e+02 4.816329985249763190e-01 7.963588633308282816e-01 4.948470333362028128e+00 2.294030902525119320e-01 5.173922895773674924e-04 3.441794966683828783e-01 -4.960860914893629570e+01 3.858101621723375274e+01 2.203985204855241165e+01 7.774900592395161958e+00 -3.753989369384720476e+01 3.803745139275327602e+01 2.523098043075366803e+01 5.522693632309449896e+01
5.649508246073883301e-05 -2.349636875190699811e+03 -8.973763207414578447e-02 6.742916651159142072e-02 1.911939817321945512e+00 1.586089587691498082e+02 4.941981760583303851e-01 7.773320454065972829e-01 4.944683681079721893e+00 2.306612242322059192e-01 -1.566174315446722254e-02 2.428517070050611737e-01 -5.228528847777363353e+01 3.726219333168246095e+01 2.259848510817719003e+01 2.721702689122973418e+00 -4.263643164164992072e+01 3.441885946371326099e+01 2.801515584380387480e+01 4.671922546017337652e+01
5.908081955347802336e-05 -2.349592122459476741e+03 -1.440463315031310643e-01 2.559843977827266914e-02 1.950844467261487303e+00 1.586166514214171457e+02 5.836157331691580463e-01 7.337287630075675082e-01 4.951340905189573149e+00 2.230168675797279398e-01 3.039964209399670381e-03 2.021109977841079597e-01 -5.071688802495251025e+01 3.647013949176203340e+01 2.255493397933361166e+01 3.793009053439710954e+00 -4.057322758970195764e+01 3.602695835896852117e+01 2.815375572625600142e+01 4.924165368368305451e+01
6.111693656880752285e-05 -2.349558239766952738e+03 -8.969309771059658098e-02 5.016159209169235300e-02 1.892671952685010872e+00 1.559451152375346510e+02 5.144164164113695925e-01 7.732056504700164368e-01 4.948007739953755646e+00 2.145565045275992233e-01 -8.489880338059530018e-03 2.082017588964402977e-01 -4.503658602067619654e+01 3.853896685301783265e+01 2.333127521891942280e+01 9.493952581660526135e+00 -3.567112864123950544e+01 3.808711257393515837e+01 2.747261893762453866e+01 5.157191654037696082e+01
