weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O2_params-v_0 O2_params-v_0_2 O2_params-I01_spec1 O2_params-I02_spec1 O2_params-I01_spec2 O2_params-I02_spec2 O2_params-I01_spec3 O2_params-I02_spec3
9.210988263143573477e-05 -1.631393656854291521e+03 1.340786416644995649e-02 8.793071930928653135e-03 -2.846809717344282120e+00 9.875585368602065728e+01 6.795840550352154619e-01 6.434882986111150061e-01 4.419027428246376843e+00 -6.829088674859473684e-02 3.191342468417652789e-01 9.689049585992477731e-02 -1.780533975067995698e+02 -1.796317076273169562e+02 3.565247460504406263e+01 9.175659900886279274e+01 2.316071871309466346e+01 4.708195858104313913e+01 1.513811647453855436e+01 8.205109800465793057e+01
6.904252753225582808e-05 -1.631681916439284805e+03 4.765639981917307866e-02 6.238719848298188153e-02 -2.803482745677014165e+00 8.804951378150147434e+01 7.895005616247120495e-01 6.182673160107444721e-01 4.415368313288349889e+00 -3.213972559999467293e-02 3.552881834573202724e-01 4.076154444073021299e-02 -1.770771294775406091e+02 -1.749649986478200958e+02 4.026889997288319023e+01 1.079339018265280714e+02 2.319142565282195179e+01 4.635306534923366684e+01 1.876190074032324517e+01 8.994774259908567160e+01
5.764756134487811109e-05 -1.631862291150291639e+03 4.685889393274580983e-02 2.052154270062311880e-02 -2.713365244608144877e+00 8.989593167951323949e+01 7.589120675003410144e-01 6.193554602484151461e-01 4.416945528008035637e+00 -7.531328133304127093e-02 3.186082587617580231e-01 5.474168101732074243e-02 -1.747390146030555798e+02 -1.793808489534833370e+02 4.174857243438623300e+01 1.007441936183988105e+02 2.082716923420735355e+01 4.494656930449214371e+01 1.201867053001270946e+01 1.031663201423046416e+02
5.241985116274914288e-05 -1.631957353736499726e+03 2.895946029756762963e-02 3.418169142561738871e-02 -2.807523035829879721e+00 8.938252387661214016e+01 7.603326302795555547e-01 6.260150492655590648e-01 4.409231710463867415e+00 -5.385565054913765692e-02 3.203901913122446654e-01 7.031743719335506460e-02 -1.712165363431498122e+02 -1.772169834547714515e+02 3.750682738924137993e+01 1.028920561648836127e+02 2.387336908083048570e+01 4.667429520765398365e+01 1.569413611347691884e+01 1.059393727978015249e+02
5.011981870427830035e-05 -1.632002222582280865e+03 -4.626740135570740764e-02 2.930646575016004896e-02 -2.818590972776669812e+00 8.314694211982293837e+01 6.310063159600889371e-01 6.699019037085434114e-01 4.412625402296207255e+00 -4.261540641266181595e-02 2.953336810762734466e-01 5.011129582591514198e-02 -1.798780864408185494e+02 -1.776898815751279130e+02 3.463660587114958389e+01 9.550483782390317344e+01 2.611356509299422868e+01 4.703912077321636787e+01 1.207980031635558227e+01 9.062758538975657530e+01
7.149495664549986723e-05 -1.631647012184283540e+03 8.286295141741792381e-02 9.529364940314616339e-02 -2.854751401423335722e+00 1.100319553243546125e+02 8.543840386607011173e-01 5.694616448637579431e-01 4.421764137146648288e+00 -3.455387434267187530e-02 3.892558008078208509e-01 3.188274534781432301e-02 -1.793402314512724161e+02 -1.762715790741177386e+02 3.922632041786311419e+01 1.105818995877905166e+02 2.161648205128596700e+01 4.523700704847266252e+01 1.991262990011277623e+01 8.490507090812005231e+01
4.990359456794800998e-05 -1.632006546059476250e+03 -6.127457142430310644e-02 -4.287461850213780679e-02 -2.840072313995200659e+00 7.444373418068141746e+01 6.062175347221883115e-01 6.778470033227126379e-01 4.408393654604658707e+00 -6.398423281858622857e-02 2.747192172282999501e-01 6.784274909979673418e-02 -1.781697377402861662e+02 -1.781259669927294169e+02 3.847326949958418396e+01 8.452898341051562170e+01 2.191387232675779018e+01 4.596165626813364469e+01 8.420155805687222994e+00 8.337751286753547220e+01
6.048021697899549779e-05 -1.631814322775588607e+03 -2.120404437354211913e-02 -6.406646209238031631e-03 -2.729530450944481768e+00 7.797025594826152428e+01 6.598948909633923776e-01 6.382369609031157687e-01 4.411328700326180297e+00 -7.843617980046957427e-02 2.965049860894437561e-01 4.697225089735792419e-02 -1.778626888469293306e+02 -1.747749758665799789e+02 3.829964625429449399e+01 9.265267859389814475e+01 2.003355516918792034e+01 4.497197397526109341e+01 1.107068439534408810e+01 8.901976827617208698e+01
5.058406067954391129e-05 -1.631993002574733737e+03 1.061103094009698544e-01 3.502784615025644754e-02 -2.736495354967768190e+00 8.896397335764352476e+01 8.042228447092107935e-01 5.917607546197485302e-01 4.417022639328018307e+00 -1.124109924441729635e-01 3.757224389893121241e-01 2.291722445582464879e-02 -1.718267960103135863e+02 -1.742769517448528802e+02 4.193321227516810978e+01 9.880175141249014814e+01 2.198251148825214329e+01 4.163566131005791249e+01 2.284654313003642301e+01 1.068506280626992861e+02
5.060442228841497574e-05 -1.631992600125590343e+03 -8.081178991418858093e-03 -1.302940569754748590e-02 -2.808386278395024860e+00 7.773485123314219436e+01 6.166206870253141403e-01 6.779231528269857865e-01 4.418542050288907674e+00 -5.124775103182521718e-02 2.934915749052295908e-01 1.369205185227881372e-01 -1.766422983711595975e+02 -1.798626181105649096e+02 4.363730877271632380e+01 9.473700400789053333e+01 2.066166954737502692e+01 4.426401828113812797e+01 2.052613741112441303e+01 9.354462215269853687e+01
7.328397025185232755e-05 -1.631622297196969839e+03 -2.286151607650660500e-02 -6.496454972904751324e-02 -2.796864608718150347e+00 7.629217338006095872e+01 6.097689068291035630e-01 6.743191323382244917e-01 4.415897562186483327e+00 -8.120104031257335819e-02 3.076124235374899651e-01 8.263575451644548930e-02 -1.751766378370508903e+02 -1.757944130581246043e+02 3.991490536849828885e+01 1.009971609823516729e+02 2.304407461555446446e+01 4.514452833178772551e+01 1.665228137505281225e+01 9.175047310426376157e+01
7.384418069783890053e-05 -1.631614681888142513e+03 1.003536020504773585e-01 6.286517543916242401e-02 -2.883290814453309370e+00 9.599591220197268626e+01 8.460244274636685713e-01 5.727485517776024215e-01 4.408390379371634360e+00 -3.451487980522971455e-02 3.881141458115158205e-01 2.966381719607676104e-02 -1.742044568814403647e+02 -1.772668377951513037e+02 4.315560352876091343e+01 1.037229449745210559e+02 2.205035466005755751e+01 4.296460161678072609e+01 2.141481467294137531e+01 8.914817282477926597e+01
6.997409017367254289e-05 -1.631668514061914721e+03 5.090694971387366152e-03 -1.998614937194553853e-02 -2.739833094043165662e+00 9.390581977044826090e+01 6.642415575885709522e-01 6.516080820618888048e-01 4.409636178116958405e+00 -6.041991929100731795e-02 3.140525240636049542e-01 1.610623561347774291e-01 -1.754733845806360364e+02 -1.795040356180058438e+02 3.810250697364847383e+01 9.453471538949986552e+01 2.139197080572241561e+01 4.273135568593910705e+01 1.818924418382694697e+01 8.287853194494610420e+01
5.059295346663261875e-05 -1.631992826788025923e+03 -6.703079188394708843e-02 -4.013297255763527416e-02 -2.844889428659002295e+00 8.208127745329328206e+01 5.889866880850046504e-01 6.761613352234746577e-01 4.411235074489116670e+00 -5.350739989552155684e-02 2.576527943864239667e-01 1.543047384972991987e-01 -1.779789018115349393e+02 -1.796297732282625645e+02 4.329490572978966867e+01 8.799485437201570903e+01 2.404015038994478104e+01 4.634341710879241560e+01 1.881262784079118688e+01 8.085261202923499013e+01
8.079224540294202149e-05 -1.631524758106883610e+03 3.608995317565369398e-02 3.103862971194421005e-02 -2.822331674639676269e+00 8.646074004845689842e+01 7.131910042321595311e-01 6.099154646267967994e-01 4.408871273016949033e+00 -6.552092156917721510e-02 3.441842837164958979e-01 6.755639963858617314e-02 -1.790357776017116862e+02 -1.759612498809309784e+02 4.648243598219281836e+01 9.436389785552367471e+01 1.922935796101954509e+01 4.262492735073020356e+01 1.569508046696577175e+01 8.064608114068738587e+01
5.966164583622235511e-05 -1.631827949729433385e+03 -9.752920369562034786e-02 -2.712290840102915546e-02 -2.879506137211123029e+00 7.576062270767712903e+01 5.347181697711416160e-01 7.105280155943332066e-01 4.404644661969764563e+00 -1.905148097688913467e-02 2.465651409940154970e-01 7.170680391076215965e-02 -1.796710387100327466e+02 -1.797931669678909259e+02 3.672230375689377979e+01 9.355478548775909076e+01 1.964601229118812142e+01 4.942679696052854155e+01 9.803591148467072358e+00 9.885497910920659592e+01
5.794849644419638150e-05 -1.631857084471362896e+03 -6.403929119695904448e-02 5.660328921482687958e-03 -2.861620269820821072e+00 8.521250770755163728e+01 6.223366104164242962e-01 6.786148045241298110e-01 4.414465159961060259e+00 -2.879882034926883883e-02 2.994775869480044150e-01 1.435822027977779192e-01 -1.791760170159473660e+02 -1.775747279274354469e+02 3.710177599547647986e+01 9.700208874603566755e+01 1.984527894128951431e+01 4.669506827692204354e+01 2.060325099627691259e+01 8.262503597068671013e+01
