weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
9.725778272347336442e-05 -1.886037520785657307e+03 1.472342596162637685e-01 6.158655289282397027e-02 -4.587597048065217287e-01 9.625807506246906087e+01 8.271079601930332315e-01 2.963035877815619612e-01 4.586828483497052744e+00 -6.467564107316967625e-01 -1.053074626009018466e-01 3.894482138319114384e+00 2.452233915777580364e+01 1.184910229523472580e+01 8.831906803797384953e+01 9.684707544807436363e+01
1.112095409401209694e-04 -1.885903469615001541e+03 1.226941936098711883e-01 -2.704897037903497559e-03 -1.892636442743502734e-01 8.623113375457558050e+01 8.455745891444500506e-01 2.916626040287573773e-01 4.589524282244445530e+00 -6.089429926594491782e-01 -2.616276167483402304e-01 1.118829667347940982e+00 1.897704519823133751e+01 1.090386985890745564e+01 9.835113738915080717e+01 8.642571859014924485e+01
8.960874518365351206e-05 -1.884562357261982925e+03 1.303786477573807001e-01 5.199050092669615930e-02 -4.562093949671051085e-01 9.739980771822156669e+01 8.133756632721580448e-01 2.972779185128455182e-01 4.588837488099340334e+00 -6.437599296888985023e-01 -1.171713137960206375e-01 1.723393465342858644e+00 2.186951985940612531e+01 1.259028167956710575e+01 8.856180191005213942e+01 9.816215335722966984e+01
1.031005806733542070e-04 -1.884422105156552789e+03 1.440019615125293362e-01 7.395014549493761358e-03 -1.462493124865495986e-01 7.977920083678718299e+01 8.860019348685527207e-01 2.804267806542096730e-01 4.589434840750685751e+00 -6.236952635374015674e-01 -2.733741312795365808e-01 1.688726844470022970e+00 1.985314111057300579e+01 1.002066118387423543e+01 9.217854933411462071e+01 9.165940667065353864e+01
9.527987846080197842e-05 -1.884500991530251213e+03 1.248657009021371944e-01 1.579563451676299635e-02 -4.814643057084282418e-01 8.405190913591269464e+01 8.773545851575983434e-01 2.945476147551127633e-01 4.586950991596352445e+00 -6.454144274006097248e-01 -7.547964235497284236e-02 1.518517254669078387e+00 2.042849065955508081e+01 1.080758911988943893e+01 9.352254944830463046e+01 9.339647307450260882e+01
9.854624169513507160e-05 -1.884467284282846549e+03 1.465000413134069646e-01 8.323034267431927979e-02 -5.459598778010206210e-01 8.730411935953122793e+01 7.753580171895811946e-01 3.089111508374274284e-01 4.582577969935025308e+00 -6.655300203239151724e-01 -4.873031915082037813e-02 2.178746005697660415e+00 2.348515011612994385e+01 1.122625994135906247e+01 9.321338220680853226e+01 9.466910245493065190e+01
9.306579679505498897e-05 -1.884524503444278707e+03 7.608615352272143917e-02 1.300431585060798090e-01 -4.264959214653276653e-01 1.006056631173054683e+02 6.834290545279153584e-01 3.351513348786191449e-01 4.594632986812491993e+00 -6.467535349941058165e-01 -1.109169939847713948e-01 2.904415344994210724e+00 2.262645762224875057e+01 1.085002722434036393e+01 9.226284290398689336e+01 8.373382723384249005e+01
9.572598151838126958e-05 -1.884496320428864465e+03 1.338627514325603507e-01 3.081454634611388577e-02 -5.105884140847294361e-01 1.078819912947390662e+02 8.224731579475551557e-01 2.994441501878056244e-01 4.586376860375124487e+00 -6.657561603267025951e-01 -6.212762452098807842e-02 2.882218399995947866e+00 2.073154077097356662e+01 1.011997791709784522e+01 9.182786957245025405e+01 9.273017503880143408e+01
9.228885529554400533e-05 -1.884532886789838813e+03 1.477252759116480518e-01 5.443041714402435671e-02 -5.484048615436032392e-01 1.030433005009946754e+02 8.570755767668606362e-01 2.894066926598515832e-01 4.588218927693410443e+00 -7.014932097705557368e-01 -7.655575872531139581e-02 2.204346896800346123e+00 1.983811410858876911e+01 1.041265709378558313e+01 9.002537508418106427e+01 1.014700924381264429e+02
1.116689613576176196e-04 -1.884342271387280107e+03 8.444254331761835708e-02 7.187480986474703570e-02 -3.088832718780629705e-01 1.029029009805427251e+02 7.429208299397375148e-01 3.048606296081577405e-01 4.590828592600459501e+00 -6.693758199630630568e-01 -1.870153186699685666e-01 2.802970981349587110e+00 2.105948510463221623e+01 1.050361216908191153e+01 8.936409161402968948e+01 8.188175037544309021e+01
9.387676438169313459e-05 -1.884515827274778076e+03 1.176970845462618487e-01 9.802626734691763377e-02 -5.766541478156299583e-01 6.846175554161274590e+01 7.349936570460194885e-01 3.105100612589610787e-01 4.587316945413118852e+00 -6.770015570638538982e-01 -4.083105413200982525e-02 3.092126901180956011e+00 2.046682567339823322e+01 1.233443938104650250e+01 9.147936198648875461e+01 1.007023725956029949e+02
1.063134719194243523e-04 -1.884391418167483607e+03 1.349113080300004819e-01 1.895467818670310001e-02 -2.866137251906226702e-01 7.395459786955839832e+01 8.322592463678426533e-01 2.873209941259479150e-01 4.583352572068541519e+00 -6.323281166636200989e-01 -1.804800011494605005e-01 2.210355816181081678e+00 2.029459350543177720e+01 1.276563515719397657e+01 9.368133404825684352e+01 9.360236257410315375e+01
9.627378096557723264e-05 -1.884490614162080192e+03 1.004163255604193783e-01 1.378114080166140398e-01 -5.618845657508981795e-01 7.454769047323378572e+01 6.963714742103181976e-01 3.291298571416746421e-01 4.593015020892371680e+00 -6.492564370429287912e-01 -3.711568671155474064e-02 3.595078657357968055e+00 1.980207431530101303e+01 1.171779472596234939e+01 9.051013331308388388e+01 9.191102106539072736e+01
1.034306366203505698e-04 -1.884418908969242239e+03 1.478130824082413419e-01 5.539708659088077303e-02 -3.954700157702828456e-01 8.216814523949435056e+01 7.865736696083326374e-01 2.874911065900266349e-01 4.582540588263855241e+00 -6.693833905891197755e-01 -1.521517224920001521e-01 9.351733205984065211e-01 1.958630240368381692e+01 9.557421891728923313e+00 9.489136695683397704e+01 9.614530932436049682e+01
8.884992648610313059e-05 -1.884570861452490135e+03 1.165769902741509434e-01 8.076782827422368527e-02 -4.551278416906474611e-01 8.071450410892136063e+01 7.756209196947596585e-01 3.081535642014679999e-01 4.602205265446411175e+00 -6.609514972630965435e-01 -1.131549323392913031e-01 1.582775937598864813e+00 2.050036081042301817e+01 1.142320239797878223e+01 9.301787566578457245e+01 9.560388469836067316e+01
1.061583000972211031e-04 -1.884392878802450014e+03 1.381180281347276495e-01 1.007500231587616646e-01 -5.966038358833292143e-01 8.845179577784034564e+01 7.376118009672979481e-01 2.972916557394377768e-01 4.577762320180793765e+00 -7.058982237837239104e-01 -2.158471000529882389e-02 2.017310579217058475e+00 2.154846722195821940e+01 1.136800672261373180e+01 9.000813143168562647e+01 9.933455202313101040e+01
