 slitID       z        RA       DEC    radius  theta_rad  g1_best  g1_err  g2_best  g2_err       gt  gt_err       gx  gx_err
    7.0 0.41083 42.182724 -3.434781 11.624297   0.511162  -0.0034 0.01235   0.0232 0.01090 -0.01802 0.01131 -0.01500 0.01197
    8.0 0.49183 42.213530 -3.452044 12.857375   0.370104   0.0400 0.00835   0.0757 0.00750 -0.08059 0.00797 -0.02891 0.00790
   29.0 0.56417 42.140826 -3.496756  7.874440   0.252596  -0.0564 0.02335   0.0061 0.03700  0.04640 0.02717 -0.03263 0.03429
   49.0 0.66600 42.185382 -3.587947 10.877582  -0.327932   0.0709 0.03850   0.0224 0.05035 -0.04253 0.04329 -0.06099 0.04630
   50.0 0.84500 42.164860 -3.581213  9.581736  -0.329396   0.0213 0.02315   0.0343 0.01380  0.00415 0.02016 -0.04016 0.01789
   67.0 0.59400 42.137923 -3.633122  9.701631  -0.695160  -0.0669 0.07250  -0.0263 0.05920 -0.01386 0.05967  0.07053 0.07211
   69.0 0.65933 42.145585 -3.642924 10.432542  -0.710227   0.0746 0.05910  -0.0435 0.07710 -0.05418 0.07674 -0.06724 0.05956
   70.0 0.67125 42.118898 -3.635600  8.960239  -0.789645   0.0436 0.02190   0.0083 0.02370  0.00867 0.02370 -0.04353 0.02190
   75.0 0.95500 42.040507 -3.347454 11.043427   1.424906   0.0982 0.02050  -0.0477 0.02925  0.10777 0.02136 -0.01744 0.02863
   91.0 0.49533 41.986531 -3.382054  8.999505   1.753277  -0.0720 0.04400   0.0783 0.03325 -0.03931 0.04278  0.09884 0.03480
   95.0 0.93983 42.002920 -3.404632  7.523509   1.657273   0.0269 0.05760  -0.0270 0.06275  0.02185 0.05776 -0.03123 0.06260
   99.0 0.61200 42.006906 -3.428446  6.080449   1.638382   0.0494 0.07160  -0.0156 0.05480  0.04685 0.07133 -0.02211 0.05515
  102.0 0.46600 41.967925 -3.425860  6.802185   1.986910  -0.0569 0.07125   0.0464 0.05820 -0.00400 0.06444  0.07331 0.06566
  109.0 0.46433 41.979650 -3.458202  4.745009   2.016608  -0.1050 0.01580  -0.0747 0.05195 -0.12408 0.04162  0.03478 0.03487
  110.0 0.52200 41.961648 -3.458126  5.304770   2.200993  -0.0236 0.01745   0.0241 0.01375  0.01574 0.01414  0.02983 0.01714
  112.0 0.82300 41.928584 -3.450942  6.954121   2.396183  -0.0493 0.04835  -0.0310 0.02385 -0.02696 0.02409  0.05162 0.04823
  116.0 0.79250 41.976644 -3.486564  3.407404   2.282849  -0.0096 0.04220  -0.0685 0.04530 -0.06917 0.04524 -0.00052 0.04227
  117.0 0.61167 41.963847 -3.483863  4.059708   2.400210  -0.0512 0.01395   0.0172 0.02045  0.02163 0.02041  0.04949 0.01401
  118.0 0.61917 41.911107 -3.464901  7.278528   2.579478   0.0245 0.00920   0.0533 0.00865  0.03749 0.00876 -0.04512 0.00910
  119.0 1.20500 41.963897 -3.493750  3.682712   2.518748   0.0170 0.07890   0.0300 0.08925  0.02300 0.08825 -0.02569 0.08002
  132.0 0.59225 41.920101 -3.519626  5.650434   3.035962  -0.0127 0.02950   0.0287 0.05415  0.01844 0.03100 -0.02540 0.05331
  141.0 0.62000 41.892300 -3.539847  7.313115  -3.057057  -0.0688 0.04595  -0.0333 0.03045  0.07342 0.04558  0.02125 0.03100
