weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
0.000000000000000000e+00 -9.619052780126783764e+05 1.245379873394115988e-01 1.460978505277206463e-01 -2.096299941632442376e-01 9.120559968047683697e+01 4.944744950228656677e-01 9.359958199705167292e-01 4.392882651813502903e+00 -1.643752988395486003e-01 3.863028837273212446e-01 2.923470319341590962e+00 -1.322443536098043921e+02 3.361531553263026240e+02 6.856214433707712033e+02 4.405861579300847097e+02
1.289893537284811658e-04 -2.443122741568731726e+03 -1.067596818612041865e-01 -6.082447846954409931e-02 2.250845892194590192e+00 1.035669513218680038e+02 4.727187931797761644e-01 5.349891799724542096e-01 4.506011344616082326e+00 2.393725236812584978e-01 -8.097731047314460362e-02 1.484380666249478953e+00 1.166540593734407594e+01 3.008337058823529198e+00 2.554698473085581512e+01 2.718334450554849013e+01
1.232905777193084751e-04 -2.443167927450724619e+03 -1.474696273639838351e-01 -1.047360534639667773e-01 2.283461380906279814e+00 1.153031358561357393e+02 5.348820221911241291e-01 5.160653044638737752e-01 4.508951915208335492e+00 2.642376908076027320e-01 -8.866404951986894822e-02 1.151604871762711424e+00 1.114814265195141729e+01 3.049218411595222555e+00 2.445814464708007208e+01 2.895798294318974087e+01
1.028565091419391997e-04 -2.443349136538635321e+03 -1.372999197038421437e-01 -1.441182791914420724e-01 2.332580134768745594e+00 1.116883139652690744e+02 5.740687710349620110e-01 5.160440935955400432e-01 4.509973262068185385e+00 2.521571945002791804e-01 -5.244789478626166179e-02 1.541309180176415605e+00 1.315931237086573447e+01 3.128642410987758637e+00 2.664205048083323391e+01 2.424859052125671965e+01
1.081858055632877694e-04 -2.443298621269675095e+03 -1.409856100963804981e-01 -6.126699519360087609e-02 2.297150453492494471e+00 1.006192427374597997e+02 4.714488781676620111e-01 5.332923190980610739e-01 4.506968844812616837e+00 2.804946641348475822e-01 -6.787841752873147172e-02 1.646156756891458794e+00 1.306199316359979434e+01 1.494436173000046608e+00 2.484149761454623828e+01 2.264224523887059348e+01
1.222925856479094547e-04 -2.443176055023897334e+03 -1.447889651811893608e-01 -1.172337729548127844e-01 2.322361574569440812e+00 1.191455789591729371e+02 5.242769719964412989e-01 5.002833513561233403e-01 4.498420650600325033e+00 2.608750631495124761e-01 -7.110819811368407350e-02 6.558629165533992333e-01 1.191768850909369348e+01 1.117986321813257966e+00 2.527869073521993215e+01 2.834115319598195981e+01
9.749965878711071548e-05 -2.443402622562072793e+03 -1.124750699936200998e-01 1.377443893955370424e-01 2.327893152139830057e+00 1.190830591453938609e+02 3.074217058071245789e-01 6.749213794661697019e-01 4.503951156879335116e+00 2.275306385720501368e-01 -3.965791519531114417e-02 1.703045554675837181e+00 8.675390510884767536e+00 2.756865692325249917e+00 2.806904457129766328e+01 2.443617996305469475e+01
1.251936094957364388e-04 -2.443152610025454123e+03 -1.146549425330821437e-01 -3.180259858210325585e-02 2.274936007286632922e+00 1.212608708652905989e+02 4.710239547842942631e-01 5.363672719008805156e-01 4.491961452198840021e+00 2.687534203892369966e-01 -5.934527246448451088e-02 2.208238454981510390e+00 9.184413902923239448e+00 2.938994143431017392e+00 2.726167428210879251e+01 2.222716667194280049e+01
1.116383267092955806e-04 -2.443267207020167461e+03 -1.010049822078425835e-01 1.230952538287451714e-01 2.304037292483741339e+00 1.102359468153213982e+02 3.150508552089383851e-01 6.457644633303294412e-01 4.489596078426715486e+00 2.769294576275425079e-01 -5.398678611729312848e-02 1.726275407602223089e+00 1.523488414178083872e+01 1.231161948923031879e+00 2.731680502554878487e+01 2.302883721030823949e+01
1.122116685027171857e-04 -2.443262084455419426e+03 -3.544675612487098448e-02 1.106059529314417922e-01 2.247101088513302258e+00 1.250456104903765748e+02 3.106809027706010085e-01 6.500719968607334698e-01 4.500461443591486699e+00 2.673338830241180908e-01 -4.012750145748800179e-02 2.031445245077707185e+00 1.544627965989150198e+01 1.658597633261704729e+00 2.680716811467787153e+01 2.508208613030660317e+01
1.025081034937480785e-04 -2.443352529586521996e+03 -1.346785280334930612e-01 -1.193219803853460825e-01 2.250442098551566517e+00 1.254548272308273482e+02 5.822074680437792082e-01 5.059070556431437549e-01 4.507196119579916171e+00 2.580783505290000779e-01 -1.055976090169674642e-01 1.273865442077486643e+00 1.756831797222963587e+01 2.624420876967459293e+00 2.622055957119351177e+01 2.739352238045866983e+01
1.159583418748341639e-04 -2.443229240435613065e+03 -1.462869836352614916e-01 -1.155752278484702134e-01 2.287535196406975224e+00 1.063160334379349621e+02 5.585851874961629271e-01 5.051867812576169570e-01 4.509603202503596364e+00 2.596337751683028827e-01 -6.993076422532862324e-02 2.026084928507235983e+00 1.144338848731814551e+01 1.991558321239872420e+00 2.465652277961938310e+01 2.578917888589393925e+01
1.284937468895026966e-04 -2.443126591199638369e+03 -1.078550092556516959e-01 -8.259180399263077454e-02 2.240509600554983827e+00 9.872972563664816903e+01 5.379989592782624674e-01 5.200660845392459652e-01 4.503263297863236758e+00 2.682773118372321353e-01 -9.656305002928688985e-02 1.132944207197648101e+00 1.391154962894711389e+01 3.002770595205705995e+00 2.697349400002124753e+01 2.093794152260719699e+01
1.317224755297946560e-04 -2.443101774189240132e+03 -9.862692613705258127e-02 -9.462699612523467474e-02 2.276482190568282604e+00 1.556376027589776072e+02 4.999212209828387543e-01 5.461296736498020277e-01 4.501635237931574274e+00 2.423809292560912265e-01 -6.631137604164294430e-02 1.789561514019925914e+00 1.224590924069326547e+01 1.551678645508536292e+00 2.785072440476521649e+01 2.376235868840970156e+01
1.048571173072620105e-04 -2.443329872804555635e+03 -1.092519347445635169e-01 1.458588260884602639e-01 2.324528502652905892e+00 1.146523299443917949e+02 3.121300227500376501e-01 6.396403334339224589e-01 4.489621424643738479e+00 2.872436029083091924e-01 -3.838025451884030659e-02 1.986883511710250794e+00 1.359980495461772421e+01 3.439866830628357519e+00 2.691604375121459114e+01 2.360155004433883619e+01
1.276636509750381438e-04 -2.443133072361822997e+03 -9.985311435043246753e-02 -1.683000292734115888e-02 2.238197223421808602e+00 1.274482522917611647e+02 4.586436347708977568e-01 5.542936855798668017e-01 4.510085132802536201e+00 2.791713794616419442e-01 -7.697340290496845761e-02 1.526492388168776415e+00 1.534964643572720888e+01 2.713236581924793889e+00 2.846710128261953443e+01 2.323318951044139880e+01
1.154929537363989095e-04 -2.443233261918961489e+03 -1.491721528316597711e-01 7.096541135663775313e-02 2.358388613677971257e+00 1.110784070411750264e+02 3.534451832619933676e-01 6.415235310133775570e-01 4.519404544276270030e+00 2.719046050668558756e-01 -4.006529526089419591e-02 1.650612737630932525e+00 1.304452805969793872e+01 1.657035978776089102e+00 2.649214736537153314e+01 2.519844684615235764e+01
