weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale Hb_params-v_0 Hb_params-I01_spec1 Hb_params-I01_spec2 Hb_params-I01_spec3 O3a_params-v_0 O3a_params-I01_spec1 O3a_params-I01_spec2 O3a_params-I01_spec3 O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
2.240530760409133437e-05 -4.145552822512257990e+03 -3.537586639828352308e-02 1.325734569665446838e-01 -5.974560252025153950e-01 1.837811410927153872e+02 5.981189852739996482e-01 1.126831924360436998e+00 5.148722407946297430e+00 -1.988304157174172193e-01 -5.493988128963067652e-02 1.722488557788879104e+00 -3.004024470016864257e+01 4.653746031911920511e+01 1.607083580540391665e+01 7.974139259222835108e+01 -2.965968008050421645e+01 2.282550073386069300e+00 3.015521819158317740e+00 5.214924744557281144e+01 -2.907765311024206767e+01 1.021332898625715302e+01 2.786355725748368428e+01 1.942568881653892277e+02
2.549513527268155077e-05 -4.145423632729318342e+03 -7.403365650080658000e-02 1.067813003446798359e-01 -5.573621713842098480e-01 1.713906484353861117e+02 6.095214125210491884e-01 1.109339837690392461e+00 5.145738929302078546e+00 -2.036212543276720854e-01 -5.551136991515592811e-02 1.496686306787174292e+00 -3.223595081790836048e+01 4.760854327297303712e+01 1.608782516545759123e+01 8.382670509472333720e+01 -3.426227772501005120e+01 2.415854724076127447e+00 3.607091843914500551e+00 5.151192636230361899e+01 -2.798746320026702961e+01 8.492901901036574941e+00 2.526603348931066861e+01 2.013460975969549906e+02
1.530016035124511897e-05 -4.145934257080845782e+03 -2.085315711029356311e-02 2.245271537176449228e-02 -5.810571422177313039e-01 1.949525141720625925e+02 7.320783620828663629e-01 9.930577451750834950e-01 5.146126325494076781e+00 -2.070443988824959280e-01 -5.455263478387184506e-02 1.453937046097032004e+00 -2.972820772577151160e+01 4.960626276834323534e+01 1.636171853656465203e+01 8.419027478291263833e+01 -2.693543066937402841e+01 2.060713382053380727e+00 4.049024012628299474e+00 4.907090171904682308e+01 -2.791336806380738267e+01 9.281734548426623377e+00 2.446762837972615756e+01 2.044480283606393414e+02
2.254895934802330181e-05 -4.145546431473425400e+03 -8.571495565866400768e-02 1.403978189446948577e-01 -5.467313317802653394e-01 1.806399085347398454e+02 5.549544596680402453e-01 1.145325549554458533e+00 5.143622383831738532e+00 -1.916541807770406614e-01 -4.947448929383213567e-02 1.909376178163344928e+00 -3.009778906042717495e+01 4.485409344055146619e+01 1.625520878577702177e+01 7.932527726985394168e+01 -2.694393946046301380e+01 2.790661559713081274e+00 2.748942551981881088e+00 5.037406346112871347e+01 -2.866311529681613024e+01 9.990849542920066995e+00 2.659583871791582155e+01 2.184909624289261956e+02
1.572643673303507315e-05 -4.145906777225079168e+03 -5.682041870766997571e-02 1.487276255649142287e-01 -6.011324997170648388e-01 1.845696965733075672e+02 5.414833545541675175e-01 1.148355818273834483e+00 5.141582370331840401e+00 -2.023694537574534102e-01 -4.879933386975521259e-02 1.900171514355428304e+00 -3.014633963005070427e+01 4.914553318749759114e+01 1.537902793582934891e+01 7.999605006393450424e+01 -3.267733677719056118e+01 3.016111086596384716e+00 3.653782656047432909e+00 5.267102736384454431e+01 -2.643468056418308265e+01 9.639633698509285864e+00 2.190436786187521889e+01 2.042584748442067735e+02
1.557185927796677410e-05 -4.145916654996818579e+03 -6.237874942973917203e-02 1.378521966850743963e-01 -5.854413040881407682e-01 1.842892581993196188e+02 5.872800679647821598e-01 1.123982233331469516e+00 5.146053956053066258e+00 -2.152498701907661349e-01 -5.547012900946635128e-02 1.817743703043136039e+00 -2.972686034443398739e+01 5.114910409783801981e+01 1.573649755300166042e+01 8.022331608774102563e+01 -3.170551018939886490e+01 2.706982479338759795e+00 4.785378330526612878e+00 5.172391422523547533e+01 -2.713466394545531557e+01 1.116656099521395973e+01 2.208350105211565051e+01 2.008226994740178668e+02
1.881086507241967783e-05 -4.145727685757379732e+03 -7.132754072389757560e-02 1.232745738812903447e-01 -5.648414615846562015e-01 1.746244972584665902e+02 5.883860525388310281e-01 1.114026124471837464e+00 5.147594231496478656e+00 -1.804205439696606739e-01 -5.247205140516508770e-02 1.742449417761136488e+00 -2.761581879768522185e+01 4.648906651144913127e+01 1.655117648817017084e+01 8.041025556008307262e+01 -2.728649712109287861e+01 1.870336526918925379e+00 2.462520762496089866e+00 5.174542440285024014e+01 -2.812183798916407795e+01 9.602938471829691736e+00 2.539254858416428817e+01 2.046758223133957699e+02
1.551923709783340313e-05 -4.145920040032183351e+03 -7.190707470586361894e-02 1.272723843377057962e-01 -5.763250653182523386e-01 1.577682912825343351e+02 5.869328334529214652e-01 1.115181301447072837e+00 5.147589156473664218e+00 -1.970110617073119741e-01 -4.961206928113304215e-02 1.456656594778948488e+00 -3.007422320316217679e+01 4.720126564034665506e+01 1.618120390802668851e+01 7.985606652487942370e+01 -3.398480267509683017e+01 2.533551847604176288e+00 4.721622527943392100e+00 5.389319512277545954e+01 -2.952570461694296000e+01 8.683645988521560000e+00 2.757240341972044817e+01 2.070973112786578270e+02
1.598228698955557779e-05 -4.145890639343822841e+03 -7.107651697897576781e-02 1.496465298892185880e-01 -5.720454042094731406e-01 1.546313087385169354e+02 5.554727487503553496e-01 1.147004577652018131e+00 5.150549765998982288e+00 -2.160087496798031026e-01 -4.311298260012041972e-02 1.532528886546057567e+00 -2.916612211573266222e+01 4.894338372880935140e+01 1.544312557337612546e+01 8.259337793058452348e+01 -2.690904397219034649e+01 2.821406730451503364e+00 3.777496722221718173e+00 5.324716713161726034e+01 -2.669241643692444654e+01 9.543693746948743950e+00 2.347618333293188897e+01 1.905207599388639608e+02
1.805319251187124946e-05 -4.145768797850059855e+03 -5.335586389672704322e-02 1.249394509504986595e-01 -5.757439858738351290e-01 1.540684758007845687e+02 5.856569946636135393e-01 1.127301278049037458e+00 5.152125126150643553e+00 -2.132102863797942227e-01 -5.218823039381259576e-02 1.403378597016863294e+00 -2.978651447581910361e+01 4.478777121795862826e+01 1.492968374898617867e+01 7.691915613330557733e+01 -2.858907278208536695e+01 2.292690863151314318e+00 3.989483744580302194e+00 4.932654236589417707e+01 -2.741173294279559514e+01 9.033845962001407770e+00 2.797944939295837941e+01 2.045837246848002451e+02
